filename,status,pages,words
2025_review_generative_ai_computer_science_education_challenges.pdf,ok,13,8202
2026_evaluating_ai_generated_c_code_computing_education.pdf,ok,18,6668
2024_detecting_llm_generated_text_computing_education_comparative.pdf,ok,6,5563
2025_plan_acm_task_forceworking_group_ethical_societal.pdf,ok,2,1515
2024_kattis_vs_chatgpt_assessment_evaluation_programming_tasks.pdf,ok,7,5592
2025_generative_ai_postgraduate_computing_research_sub_saharan.pdf,ok,5,4707
2025_harnessing_generative_ai_chemical_engineering_education_implementation.pdf,ok,14,10448
2024_does_industry_5_0_need_engineering_education.pdf,ok,10,7182
2025_beyond_benefits_systematic_review_harms_consequences_generative.pdf,ok,18,19255
2024_enhancing_engineering_education_through_llm_driven_adaptive.pdf,ok,8,6144
2025_peer_assessment_leveraging_large_language_models_software.pdf,ok,40,34861
2026_summative_assessment_generative_ai_usage_within_academic.pdf,ok,4,4074
2023_chat_overflow_artificially_intelligent_models_computing_education.pdf,ok,2,1817
2024_experience_report_adopting_ai_usage_policy_software.pdf,ok,2,1572
2026_academic_integrity_students_ethical_use_chatgpt_higher.pdf,ok,29,14212
2025_integrating_large_language_model_ai_classroom_helping.pdf,ok,2,1776
2025_work_progress_investigating_chatgpt_grading_algebra_problems.pdf,ok,3,2007
2023_chatgpt_versus_engineering_education_assessment_multidisciplinary_multi.pdf,ok,57,27761
2025_pilots_practices_scoping_review_genai_enabled_personalization.pdf,ok,23,10516
2025_accessibility_responsibility_use_generative_ai_ukrainian_students.pdf,ok,10,7435
2025_algorithmic_thinking_risk_exploring_llm_use_computer.pdf,ok,15,5496
2024_bob_bot_exploring_chatgpt_s_answers_university.pdf,ok,32,17618
2024_first_year_cs_students_exploring_identifying_biases.pdf,ok,7,6810
2024_computer_science_education_chatgpt_era_experiences_experiment.pdf,ok,22,11314
2024_more_robots_coming_large_multimodal_models_chatgpt.pdf,ok,10,8680
2024_wip_post_assessment_processes_given_rise_generative.pdf,ok,4,4016
2025_integrating_peer_assessment_cycle_chatgpt_stem_education.pdf,ok,19,12544
2025_framework_assessment_design_era_generative_ai_case.pdf,ok,6,4564
2025_trust_adoption_generative_ai_university_education_opportunities.pdf,ok,10,7861
2025_subjective_intelligence_framework_generative_ai_stem_education.pdf,ok,37,21995
2026_did_alice_do_wrong_cross_cultural_differences.pdf,ok,23,11294
2024_explore_public_s_perspectives_generative_ai_computer.pdf,ok,9,7232
2026_fighting_fire_fire_llm_assisted_grading_handwritten.pdf,ok,7,5914
2024_incorporating_generative_ai_software_development_education.pdf,ok,4,3799
2025_enhancing_chatgpt_4o_s_automated_programming_assignment.pdf,missing,0,0
2025_analysis_generative_ai_policies_computing_course_syllabi.pdf,ok,7,6169
2026_reimagining_feedback_through_generative_ai_engineering_education.pdf,ok,17,14798
2024_decoding_academic_integrity_policies_corpus_linguistics_investigation.pdf,ok,20,9866
2025_navigating_chatgpt_asean_higher_education_ethical_pedagogical.pdf,ok,15,9033
2025_lessons_learned_embedding_generative_ai_cybersecurity_oriented.pdf,ok,2,1619
2025_exploratory_study_senior_computing_uk_academic_faculty.pdf,ok,10,9665
2026_impact_generative_artificial_intelligence_education_comprehensive_analysis.pdf,ok,72,39126
2025_educators_adoption_perceptions_generative_ai_tools_higher.pdf,ok,7,5536
2026_comparison_generative_ai_tools_engineering_education_practical.pdf,ok,16,12315
2025_exploring_students_familiarity_usage_patterns_perceptions_generative.pdf,ok,7,8178
2025_designing_guidelines_responsible_genai_usage_computer_science.pdf,ok,8,7357
2025_students_attitudes_cheating_before_after_chatgpt.pdf,ok,7,6402
2023_thrilled_your_progress_large_language_models_gpt.pdf,ok,15,13609
2024_postgraduate_student_perspective_academic_misconduct_era_essay.pdf,ok,7,6706
