filename,doi,title,year,publisher,categories,n_categories,word_count
2025_review_generative_ai_computer_science_education_challenges.pdf,10.1007/978-3-031-94943-2_11,"A Review of Generative AI in Computer Science Education: Challenges and Opportunities in Accuracy, Authenticity, and Assessment",2025,,E_ethics_policy|F_perception_affect|G_review_methodology,3,8202
2026_evaluating_ai_generated_c_code_computing_education.pdf,10.1007/978-3-032-12457-9_8,Evaluating AI-Generated C# Code in Computing Education: Implications for Academic Integrity,2026,,A_automated_grading|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,6,6668
2024_detecting_llm_generated_text_computing_education_comparative.pdf,10.1109/compsac61105.2024.00027,Detecting LLM-Generated Text in Computing Education: Comparative Study for ChatGPT Cases,2024,,A_automated_grading|B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,7,5563
2025_plan_acm_task_forceworking_group_ethical_societal.pdf,10.1145/3724389.3731282,A Plan for an ACM Task ForceWorking Group into the Ethical and Societal Impacts of Generative AI in Higher Computing Education,2025,,C_academic_integrity|E_ethics_policy|F_perception_affect|G_review_methodology,4,1515
2024_kattis_vs_chatgpt_assessment_evaluation_programming_tasks.pdf,10.1145/3636555.3636882,Kattis vs ChatGPT: Assessment and Evaluation of Programming Tasks in the Age of Artificial Intelligence,2024,,A_automated_grading|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,6,5592
2025_generative_ai_postgraduate_computing_research_sub_saharan.pdf,10.1145/3736181.3747148,Generative AI in Postgraduate Computing Research in Sub-Saharan Africa: A Threat to Academic Integrity or a Catalyst for Innovation?,2025,,C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,5,4707
2025_harnessing_generative_ai_chemical_engineering_education_implementation.pdf,10.1016/j.ece.2025.01.002,Harnessing generative AI in chemical engineering education: Implementation and evaluation of the large language model ChatGPT v3.5,2025,,B_authentic_assessment|C_academic_integrity|E_ethics_policy|F_perception_affect|G_review_methodology,5,10448
2024_does_industry_5_0_need_engineering_education.pdf,10.1109/educon60312.2024.10578712,Does Industry 5.0 Need an Engineering Education 5.0? Exploring Potentials and Challenges in the Age of Generative AI,2024,,B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,6,7182
2025_beyond_benefits_systematic_review_harms_consequences_generative.pdf,10.1145/3769994.3770036,Beyond the Benefits: A Systematic Review of the Harms and Consequences of Generative AI in Computing Education,2025,,A_automated_grading|B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,7,19255
2024_enhancing_engineering_education_through_llm_driven_adaptive.pdf,10.1109/fie61694.2024.10893146,Enhancing Engineering Education Through LLM-Driven Adaptive Quiz Generation: A RAG-Based Approach,2024,,D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,4,6144
2025_peer_assessment_leveraging_large_language_models_software.pdf,10.1142/s0218194024500359,Using Peer Assessment Leveraging Large Language Models in Software Engineering Education,2025,,B_authentic_assessment|E_ethics_policy|F_perception_affect|G_review_methodology,4,34861
2026_summative_assessment_generative_ai_usage_within_academic.pdf,10.1145/3772338.3772347,The Summative Assessment of Generative AI Usage within Academic Writing in a Computing Foundation Year,2026,,C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,5,4074
2023_chat_overflow_artificially_intelligent_models_computing_education.pdf,10.1145/3587102.3588773,Chat Overflow: Artificially Intelligent Models for Computing Education - renAIssance or apocAIypse?,2023,,A_automated_grading|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect,5,1817
2024_experience_report_adopting_ai_usage_policy_software.pdf,10.1145/3660650.3660668,Experience Report: Adopting an AI-Usage Policy in Software Engineering Education,2024,,C_academic_integrity|E_ethics_policy,2,1572
2026_academic_integrity_students_ethical_use_chatgpt_higher.pdf,10.28945/5730,ACADEMIC INTEGRITY AND STUDENTS' ETHICAL USE OF CHATGPT IN HIGHER EDUCATION,2026,,B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,6,14212
2025_integrating_large_language_model_ai_classroom_helping.pdf,10.1145/3769694.3771137,Integrating Large Language Model AI Into the Classroom Helping Students Solve Complex Problems,2025,,C_academic_integrity|D_formative_adaptive|F_perception_affect,3,1776
2025_work_progress_investigating_chatgpt_grading_algebra_problems.pdf,10.1109/edunine62377.2025.10981322,Work in Progress: Investigating ChatGPT for Grading Algebra Problems,2025,,A_automated_grading|E_ethics_policy|F_perception_affect|G_review_methodology,4,2007
2023_chatgpt_versus_engineering_education_assessment_multidisciplinary_multi.pdf,10.1080/03043797.2023.2213169,ChatGPT versus engineering education assessment: a multidisciplinary and multi-institutional benchmarking and analysis of this generative artificial intelligence tool to investigate assessment integrity,2023,,B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,6,27761
2025_pilots_practices_scoping_review_genai_enabled_personalization.pdf,10.3390/ai7010006,From Pilots to Practices: A Scoping Review of GenAI-Enabled Personalization in Computer Science Education,2025,,A_automated_grading|B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,7,10516
2025_accessibility_responsibility_use_generative_ai_ukrainian_students.pdf,10.18421/tem144-62,Accessibility and Responsibility : Use of Generative AI by Ukrainian Students,2025,,C_academic_integrity|E_ethics_policy|F_perception_affect|G_review_methodology,4,7435
2025_algorithmic_thinking_risk_exploring_llm_use_computer.pdf,10.33039/ami.2025.10.020,Algorithmic thinking at risk? Exploring LLM use in computer science education,2025,,C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,5,5496
2024_bob_bot_exploring_chatgpt_s_answers_university.pdf,10.1145/3633287,Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,2024,,B_authentic_assessment|C_academic_integrity|D_formative_adaptive|E_ethics_policy|F_perception_affect|G_review_methodology,6,17618
